City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,floro,61.5996,5.0328,7.98,93,40,3.09,NO,1696486127
301,yuanping,38.7153,112.7575,17.07,43,100,1.9,CN,1696485943
302,hamilton,39.1834,-84.5333,21.1,77,0,2.57,US,1696485892
303,kill devil hills,36.0307,-75.676,22.21,88,40,3.6,US,1696486128
304,makhjan,17.2698,73.5003,30.36,71,84,1.55,IN,1696486128
305,humaita,-7.5061,-63.0208,26.95,61,96,0.23,BR,1696486128
306,castillos,-34.1667,-53.8333,7.41,93,20,3.16,UY,1696486128
307,kununurra,-15.7667,128.7333,36.99,36,40,6.17,AU,1696486129
308,maqat,47.65,53.3167,19.34,34,100,0.75,KZ,1696486129
309,umarkot,25.3616,69.7362,33.84,36,3,7.14,PK,1696486129
310,chabahar,25.2919,60.643,30.86,60,5,2.7,IR,1696485921
311,katsuura,35.1333,140.3,25.17,65,99,10.06,JP,1696486130
312,villa gesell,-37.2639,-56.973,3.36,79,0,6.58,AR,1696486130
313,cabo san lucas,22.8909,-109.9124,29.86,76,92,2.32,MX,1696485966
314,pleasanton,37.6624,-121.8747,23.42,58,0,0.0,US,1696485864
315,smara,26.7384,-11.6719,26.4,24,65,3.68,EH,1696486131
316,preobrazheniye,42.9019,133.9064,10.8,78,88,3.13,RU,1696486131
317,colima,19.1667,-104.0,21.29,97,66,0.99,MX,1696486131
318,quellon,-43.1167,-73.6167,6.26,90,76,1.87,CL,1696486131
319,badger,64.8,-147.5333,-0.72,82,0,3.6,US,1696486131
320,garbahaarrey,3.3289,42.2209,27.61,56,85,6.84,SO,1696486132
321,tobruk,32.0836,23.9764,22.62,65,0,2.27,LY,1696486132
322,tostado,-29.232,-61.7692,11.66,58,1,0.45,AR,1696486132
323,bazarnyy karabulak,52.2683,46.4144,11.92,51,100,2.77,RU,1696486132
324,hawaiian paradise park,19.5933,-154.9731,25.73,88,100,0.0,US,1696485943
325,rio casca,-20.2261,-42.6508,23.41,87,99,1.56,BR,1696485962
326,kruisfontein,-34.0033,24.7314,17.75,89,100,3.08,ZA,1696486133
327,vangaindrano,-23.35,47.6,24.0,62,99,2.15,MG,1696486133
328,malvan,16.0667,73.4667,27.19,81,39,2.16,IN,1696486133
329,melekeok village,7.4957,134.6367,28.31,78,100,3.09,PW,1696486134
330,lindesberg,59.592,15.2304,7.29,82,100,3.54,SE,1696486134
331,manacapuru,-3.2997,-60.6206,27.08,62,100,1.54,BR,1696486101
332,auki,-8.7676,160.7034,26.51,81,90,2.35,SB,1696486134
333,lazaro cardenas,17.9583,-102.2,26.6,82,66,1.5,MX,1696486134
334,torredembarra,41.1451,1.3986,22.75,97,20,3.09,ES,1696486135
335,nagqu,31.5,92.0,13.73,28,44,5.15,CN,1696486135
336,port lincoln,-34.7333,135.8667,16.02,69,99,6.5,AU,1696485976
337,santo domingo de los colorados,-0.25,-79.15,20.35,97,100,1.04,EC,1696486135
338,tabuk,17.4189,121.4443,28.96,70,100,0.71,PH,1696486136
339,rehoboth,-23.3167,17.0833,23.87,20,0,1.47,NA,1696486136
340,sitka,57.0531,-135.33,9.94,81,100,2.06,US,1696485940
341,krivosheino,57.3431,83.9261,9.83,63,100,5.01,RU,1696486136
342,sibut,5.718,19.0739,23.75,93,76,1.19,CF,1696486038
343,nova vicosa,-17.8919,-39.3719,24.41,88,71,6.1,BR,1696485943
344,riti,7.9167,9.6167,23.72,95,100,1.92,NG,1696486137
345,afif,23.9065,42.9172,32.49,12,0,5.29,SA,1696486137
346,ta`u,-14.2336,-169.5144,26.28,81,82,4.09,AS,1696486137
347,labuan,5.2767,115.2417,28.67,75,100,3.63,MY,1696486137
348,mufulira,-12.5498,28.2407,23.13,42,31,5.15,ZM,1696486138
349,vail,32.0479,-110.712,21.8,26,0,0.89,US,1696486138
350,mount isa,-20.7333,139.5,28.87,17,17,5.14,AU,1696486138
351,ribeira brava,32.65,-17.0667,27.85,24,90,3.62,PT,1696486138
352,prince rupert,54.3161,-130.3201,10.05,100,100,1.03,CA,1696486138
353,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1696486139
354,fort bragg,35.139,-79.006,18.79,88,0,0.0,US,1696486139
355,ar ruways,24.1103,52.7306,34.37,53,0,4.31,AE,1696486139
356,luang namtha,20.9497,101.4011,30.24,69,25,1.06,LA,1696486139
357,taroa,8.7058,171.2275,28.73,74,96,7.67,MH,1696486140
358,elliot lake,46.3834,-82.6331,18.08,81,99,4.07,CA,1696486140
359,queenstown,-31.8976,26.8753,25.36,39,85,2.56,ZA,1696486140
360,gadzhiyevo,69.2551,33.3362,1.47,81,32,8.75,RU,1696486140
361,rimouski,48.4488,-68.524,12.88,96,48,0.5,CA,1696486141
362,paracuru,-3.41,-39.0306,26.73,76,73,5.77,BR,1696486141
363,bakhchysarai,44.75,33.8667,17.8,48,91,1.38,UA,1696486141
364,litchfield,41.7668,-73.2501,16.61,93,0,1.31,US,1696486141
